second;swapAC;insertAC;invertAC;3optAC;
1;1219027;1301208;1178628;1329976
2;1141028;1276578;1061850;1329976
3;1105288;1262239;992836;1329976
4;1045453;1240478;892890;1329976
5;988930;1219457;802208;1329976
6;937584;1201456;715365;1329976
7;893404;1183970;637067;1329976
8;850030;1167348;572278;1329976
9;808108;1149164;507028;1329976
10;769979;1133731;444839;1329976
11;736358;1116336;388379;1329976
12;705531;1101576;333607;1329976
13;675729;1085005;284593;1329976
14;649360;1070802;241565;1329976
15;625115;1054721;203963;1329976
16;602844;1040942;171780;1329976
17;583993;1025467;144580;1329976
18;569785;1010253;123559;1329976
19;553808;997306;107155;1329976
20;537316;983061;95203;1329976
21;523649;969062;85402;1329976
22;510652;957021;77161;1329976
23;498389;943740;70664;1329976
24;489474;932414;65103;1329976
25;479554;919702;59824;1329976
26;471651;907216;54933;1329976
27;463213;896627;50920;1329976
28;455273;884760;47545;1329976
29;448446;874572;44660;1329976
30;442610;863178;42149;1329976
31;436515;851970;39975;1329976
32;430642;842314;38013;1329976
33;424482;834009;36523;1329976
34;419858;824647;35017;1329976
35;412407;814003;33665;1329976
36;408942;804900;32508;1329976
37;403940;794727;31335;1329976
38;397638;786030;30217;1329976
39;392702;776201;29201;1329976
40;387150;766570;28273;1329976
41;384647;758314;27557;1329976
42;382002;749105;26880;1329976
43;379474;741256;26286;1329976
44;376344;733304;25765;1329976
45;372624;724434;25227;1329976
46;369704;715077;24858;1329976
47;366282;706715;24559;1329976
48;364012;701589;24373;1329976
49;360423;695207;24147;1329976
50;358492;686194;24140;1329976
51;357047;678390;24140;1329976
52;354420;671685;24140;1329976
53;353406;664254;24140;1329976
54;349371;656021;24140;1329976
55;346704;649695;24140;1329976
56;345086;642514;24140;1329976
57;344082;635621;24140;1329976
58;343126;628753;24140;1329976
59;340708;622152;24140;1329976
60;339075;615641;24140;1329976
