second;swapAC;insertAC;invertAC;3optAC;swap;insert;invert3opt;
1;1338;1286;1362;1340;1361;1286;1507;1340
2;1286;1286;1362;1340;1349;1286;1507;1340
3;1286;1286;1362;1340;1304;1286;1507;1340
4;1286;1286;1362;1340;1304;1286;1507;1340
5;1286;1286;1362;1340;1304;1286;1507;1340
6;1286;1286;1362;1340;1304;1286;1507;1340
7;1286;1286;1362;1340;1304;1286;1507;1340
8;1286;1286;1362;1340;1304;1286;1507;1340
9;1286;1286;1362;1340;1304;1286;1507;1340
10;1286;1286;1362;1340;1304;1286;1507;1324
11;1286;1286;1362;1340;1304;1286;1507;1324
12;1286;1286;1362;1340;1304;1286;1507;1324
13;1286;1286;1362;1340;1304;1286;1507;1324
14;1286;1286;1362;1340;1298;1286;1507;1324
15;1286;1286;1362;1340;1298;1286;1507;1324
16;1286;1286;1362;1340;1298;1286;1507;1324
17;1286;1286;1362;1340;1298;1286;1507;1324
18;1286;1286;1362;1340;1298;1286;1507;1324
19;1286;1286;1362;1340;1298;1286;1507;1324
20;1286;1286;1362;1340;1298;1286;1507;1324
21;1286;1286;1362;1340;1298;1286;1507;1324
22;1286;1286;1362;1340;1298;1286;1507;1324
23;1286;1286;1362;1340;1298;1286;1507;1298
24;1286;1286;1362;1340;1298;1286;1507;1298
25;1286;1286;1362;1340;1298;1286;1507;1298
26;1286;1286;1362;1340;1298;1286;1507;1298
27;1286;1286;1362;1340;1298;1286;1507;1298
28;1286;1286;1362;1340;1298;1286;1507;1298
29;1286;1286;1362;1340;1298;1286;1507;1298
30;1286;1286;1362;1340;1298;1286;1507;1298
31;1286;1286;1362;1340;1298;1286;1507;1298
32;1286;1286;1362;1286;1298;1286;1507;1298
33;1286;1286;1362;1286;1298;1286;1507;1298
34;1286;1286;1362;1286;1298;1286;1507;1298
35;1286;1286;1362;1286;1298;1286;1507;1298
36;1286;1286;1362;1286;1298;1286;1507;1298
37;1286;1286;1362;1286;1298;1286;1507;1298
38;1286;1286;1362;1286;1298;1286;1507;1298
39;1286;1286;1362;1286;1298;1286;1507;1298
40;1286;1286;1362;1286;1298;1286;1507;1298
41;1286;1286;1362;1286;1298;1286;1507;1298
42;1286;1286;1362;1286;1298;1286;1507;1298
43;1286;1286;1362;1286;1298;1286;1507;1298
44;1286;1286;1362;1286;1298;1286;1507;1298
45;1286;1286;1362;1286;1298;1286;1507;1298
46;1286;1286;1362;1286;1298;1286;1507;1298
47;1286;1286;1362;1286;1298;1286;1507;1298
48;1286;1286;1362;1286;1298;1286;1507;1298
49;1286;1286;1362;1286;1298;1286;1507;1298
50;1286;1286;1362;1286;1298;1286;1507;1298
51;1286;1286;1362;1286;1298;1286;1507;1298
52;1286;1286;1362;1286;1298;1286;1507;1298
53;1286;1286;1362;1286;1298;1286;1507;1298
54;1286;1286;1362;1286;1298;1286;1507;1298
55;1286;1286;1362;1286;1298;1286;1507;1298
56;1286;1286;1362;1286;1298;1286;1507;1298
57;1286;1286;1362;1286;1298;1286;1507;1298
58;1286;1286;1362;1286;1298;1286;1507;1298
59;1286;1286;1362;1286;1298;1286;1507;1298
60;1286;1286;1362;1286;1298;1286;1507;1298
