second;swapAC;insertAC;invertAC;3optAC;
1;3555954;3816367;3401358;3912840
2;3265127;3740008;2971259;3912840
3;2998194;3658985;2573690;3912840
4;2766893;3588957;2218687;3912840
5;2558135;3514843;1891444;3912840
6;2378344;3450395;1590232;3912840
7;2232168;3381986;1340675;3912840
8;2097071;3316472;1114670;3912840
9;1981651;3259009;928743;3912840
10;1882696;3197109;766452;3912840
11;1802775;3142603;641175;3912840
12;1748923;3106256;563879;3912840
13;1680952;3059306;496179;3912840
14;1618219;3008015;445263;3912840
15;1562871;2952276;401350;3912840
16;1516336;2903410;365875;3912840
17;1472822;2850785;335792;3912840
18;1427384;2809995;309212;3912840
19;1386534;2760135;286849;3912840
20;1358614;2714780;266468;3912840
21;1323571;2666129;249404;3912840
22;1286598;2624984;234216;3912840
23;1256718;2580777;222265;3912840
24;1230919;2538106;210882;3912840
25;1207241;2500431;201932;3912840
26;1185167;2459783;193901;3912840
27;1169666;2436158;187736;3912840
28;1151011;2401596;182710;3912840
29;1131053;2368267;177734;3912840
30;1114145;2353688;173395;3912840
31;1100252;2334248;171399;3912840
32;1082669;2320237;171399;3912840
33;1069110;2313322;171399;3912840
34;1053758;2299561;171399;3912840
35;1039086;2272576;171399;3912840
36;1026188;2245913;171399;3912840
37;1014883;2220603;171399;3912840
38;998305;2189771;171399;3912840
39;984692;2162429;171399;3912840
40;973563;2133089;171399;3912840
41;963261;2103138;171399;3912840
42;951604;2080990;171399;3912840
43;941768;2056312;171399;3912840
44;931649;2030543;171399;3912840
45;923020;2003397;171399;3912840
46;914392;1976384;171399;3912840
47;906839;1949996;171399;3912840
48;896565;1924894;171399;3912840
49;887915;1900309;171399;3912840
50;879466;1876456;171399;3912840
51;873061;1847326;171399;3912840
52;864606;1826333;171399;3912840
53;856570;1800107;171399;3912840
54;849975;1778704;171399;3912840
55;844610;1758694;171399;3912840
56;836784;1738512;171399;3912840
57;832656;1719011;171399;3912840
58;827427;1701249;171399;3912840
59;819389;1683140;171399;3912840
60;813778;1663693;171399;3912840
