Czas w sekundach;Wartość funkcji celu
0;3433
1;2005
2;1905
3;1905
4;1905
5;1905
6;1902
7;1902
8;1869
9;1745
10;1745
11;1745
12;1745
13;1745
14;1745
15;1745
16;1745
17;1745
18;1745
19;1745
20;1745
21;1701
22;1701
23;1701
24;1701
25;1701
26;1541
27;1541
28;1541
29;1541
30;1541
31;1541
32;1541
33;1541
34;1541
35;1541
36;1541
37;1541
38;1541
39;1541
40;1541
41;1541
42;1541
43;1541
44;1541
45;1541
46;1541
47;1541
48;1541
49;1541
50;1541
51;1541
52;1541
53;1541
54;1541
55;1541
56;1541
57;1541
58;1541
59;1541
60;1541
60;1541
