Czas w sekundach;Wartość funkcji celu
0;7676
1;2125
2;2086
3;2086
4;2086
5;2086
6;2072
7;2072
8;2072
9;2072
10;2072
11;2072
12;2072
13;2072
14;2072
15;2072
16;2072
17;2068
18;2068
19;2068
20;2068
21;2068
22;2068
23;2068
24;2068
25;2068
26;2068
27;2062
28;2062
29;2062
30;2062
31;2062
32;2062
33;2062
34;2062
35;2062
36;2062
37;2062
38;2062
39;2062
40;2062
41;2062
42;2062
43;2062
44;2062
45;2062
46;2062
47;2047
48;2047
49;2047
50;2047
51;2047
52;2047
53;2047
54;2047
55;2047
56;2047
57;2047
58;2047
59;2047
60;2047
